filename,Mouth,Nasal,Skin,Stool
ID_ABHFUP,1.1619926e-06,0.9999976,1.0142999e-06,1.7030274e-07
ID_ADBLNY,6.955801e-07,0.9999987,4.724163e-07,1.0773165e-07
ID_AFAEMB,0.9999026,1.7014372e-05,7.8291574e-05,2.1199712e-06
ID_AFBBWK,0.9999958,1.1774583e-06,2.9300968e-06,9.893794e-08
ID_AGHEZK,0.9997749,1.9590914e-05,0.00020407642,1.5068458e-06
ID_AGKIYB,3.0981633e-07,2.803849e-07,0.9999994,1.5130514e-08
ID_AIQHUX,1.8944405e-07,1.8909884e-06,2.2832994e-07,0.99999774
ID_AIVFAZ,8.5313786e-07,1.7731481e-05,9.936007e-07,0.99998045
ID_AJCBOB,1.40064485e-05,0.00041316464,1.30905155e-05,0.9995597
ID_AJGVTS,0.9991493,9.534621e-05,0.0007513699,3.974767e-06
ID_AJKHOU,6.2304576e-07,0.9999989,4.231532e-07,7.866139e-08
ID_AKDVQI,7.25481e-06,0.9999888,2.5013321e-06,1.4220391e-06
ID_AKIAKB,1.0823159e-05,0.00011068602,9.852437e-06,0.99986863
ID_AKWSZD,6.39129e-08,1.2306711e-07,6.8110495e-08,0.99999976
ID_ALGOGQ,5.1884417e-05,8.029421e-05,0.99986196,5.881325e-06
ID_ALHTER,3.3820002e-06,0.0001950779,2.9964403e-06,0.9997986
ID_AMSOXU,0.4455749,0.0070999833,0.5471892,0.00013593526
ID_AMUYDZ,7.039818e-07,0.9999982,6.6389845e-07,4.1205766e-07
ID_ANSGID,0.0062470622,3.65674e-05,0.9937151,1.2895019e-06
ID_AOQGWN,2.9052362e-05,3.5336664e-06,0.999967,4.7003618e-07
ID_AQDZLZ,2.7718766e-06,0.9999944,2.135731e-06,7.2468606e-07
ID_ARCTEP,8.5630927e-07,0.99999833,3.603064e-07,5.012186e-07
ID_ARGCHE,1.4263195e-06,0.99999785,3.9577102e-07,3.4733486e-07
ID_ASNCNV,1.38431515e-05,1.9650697e-06,0.99998415,9.706741e-08
ID_ATFRKF,0.0006547084,0.99789524,0.0005362703,0.00091378385
ID_AUPWYI,9.0527195e-08,5.4211657e-08,1.7323674e-07,0.99999964
ID_AUUTWM,3.393353e-05,2.5617255e-05,0.9999392,1.2654007e-06
ID_AVMUKC,0.0008419856,5.2614967e-05,0.99910444,8.764517e-07
ID_AVZMAJ,7.846609e-07,0.99999785,8.465182e-07,5.012184e-07
ID_AWDNCQ,6.955801e-07,0.9999987,4.724163e-07,1.0773165e-07
ID_AWHBEB,1.8502543e-07,5.4723987e-06,2.5745675e-07,0.99999404
ID_AWINYS,6.147299e-08,2.0281009e-07,4.963917e-08,0.99999964
ID_AWUOPA,4.189205e-07,0.99999845,6.8961555e-07,4.181996e-07
ID_AYOAPD,0.9989604,4.276183e-05,0.0009946213,2.2124277e-06
ID_AYRSVB,0.9999324,1.054506e-05,5.6111232e-05,8.860666e-07
ID_AYUWST,4.707765e-07,3.1558706e-05,8.0741586e-07,0.9999672
ID_BAFNRW,8.9997e-06,0.024796698,3.454247e-05,0.97515976
ID_BBHQDM,1.0269713e-06,8.0772116e-07,0.9999981,5.1746902e-08
ID_BBHZGN,0.999121,0.00016616266,0.00070604484,6.755025e-06
ID_BBZYDO,3.4273795e-05,1.8474026e-05,0.99994695,3.0773708e-07
ID_BCGAMY,0.0893679,0.0013967479,0.909176,5.9328217e-05
ID_BEHPUD,1.0435369e-07,1.2811924e-07,1.0412961e-07,0.99999964
ID_BFALNR,0.9997981,5.668059e-05,0.00013816885,7.062336e-06
